,Sentiment,Score,Tweet
101,Negative,-0.19999999999999998,Let me be as clear as I can be BernieOrBust If we wanted a corrupt racist Republican Wall Street warmonger as Presid
102,Neutral,0.0,Hillary Clinton is not above the law yet she has a record of contempt for the rule of law Our leaders are bound by the
103,Negative,-0.15000000000000002,Joe Biden is a worse candidate than Hillary Clinton in every conceivable way The fact that he s outperforming her numbers a
104,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
105,Positive,0.4666666666666667,Joe Biden won many areas in Michigan on Tuesday that Bernie Sanders carried easily against Hillary Clinton in 2016 One reason
106,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
107,Neutral,0.0,If women are sidelined the prospects for sustainable peace are slim If society is torn apart amp women pushed to the margi
108,Neutral,0.0,I still believe Hillary Clinton can play a role in advancing women in politics But I don t believe wo
109,Neutral,0.0,Here s HRC saying she would vote for Bernie if he is the nominee
110,Neutral,0.0,Clowns Exposed Faces Of Seditious Conspirators In The U S Media I ll Kick This Off With The 65 Journalists WikiLeaks
111,Neutral,0.0,You can thank the Dem establishment for that and Hillary Clinton
112,Positive,0.5,Ladies and Genlemen I give you Hillary Clinton The most investigated innocent person in America UNTIL proven g
113,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
114,Neutral,0.0,Yeah their are we have to respect the voters who voted for biden where have that respect have been for Bern
115,Negative,-0.15555555555555559,The County That Took Down Hillary Just Canceled Bernie via
116,Neutral,0.0,If being a Bernie Bro means calling bullshit for what it is then in the words of Hillary Clinton Deal me in Be
117,Positive,0.35833333333333334,ONLY nominees who win with YOUNG VOTERS in the primary go on to win the general Hillary Bernie Sanders Obama Kerry How
118,Negative,-0.15000000000000002,Joe Biden is a worse candidate than Hillary Clinton in every conceivable way The fact that he s outperforming her numbers a
119,Positive,0.4666666666666667,Joe Biden won many areas in Michigan on Tuesday that Bernie Sanders carried easily against Hillary Clinton in 2016 O
120,Neutral,0.2,If you really cared about beating Trump you d do two things 1 Vote Biden in November 2 Admit Hillary Clinton lost 2016 b
121,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
122,Neutral,0.0,What do you call it when Donna Brazile leaked debate questions to Hillary Clinton in advance I call that a crime W
123,Neutral,0.0,I can t help thinking about this Biden isn t that much different from Hillary Clinton on the issues Big difference she
124,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
125,Neutral,0.0,MAGA friend of mine was like They re stealing it from Bernie again Me If a candidate can t beat Hillary Clinton or Jo
126,Negative,-0.29583333333333334,It was hard to imagine the Democrats finding an even weaker candidate than Hillary Clinton to lose against the least popula
127,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
128,Positive,0.26666666666666666,One thing is proven tonight with tremendous finality 25 years of demonizing Hillary Rodham Clinton really worked in
129,Negative,-0.19999999999999998,Let me be as clear as I can be BernieOrBust If we wanted a corrupt racist Republican Wall Street warmonger as Presid
130,Neutral,0.0,Remember When Hillary Clinton Asked China To Look Into Trumps Tax Returns She did this on national television This need
131,Negative,-0.19999999999999998,Let me be as clear as I can be BernieOrBust If we wanted a corrupt racist Republican Wall Street warmonger as Presid
132,Positive,0.7000000000000001,Here s a list of PR experts explaining why Hillary will win a couple of days before the 2016 election It s amazing
133,Positive,0.5,Ladies and Genlemen I give you Hillary Clinton The most investigated innocent person in America UNTIL proven g
134,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
135,Positive,0.26666666666666666,One thing is proven tonight with tremendous finality 25 years of demonizing Hillary Rodham Clinton really worked in
136,Neutral,0.0,The anti Hillary amp anti Clinton GOP machine started up in 1992 when Ms Clinton refused to bake cookies in a tra
137,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
138,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
139,Neutral,0.0,Democrats gave us Hillary Clinton in 2016 Democrats will likely give us Joe Biden in 2020 And if they know you ll ke
140,Positive,0.8,Trump AND Hillary Clinton I m happy for tonight predictive text
141,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
142,Positive,0.4666666666666667,Joe Biden won many areas in Michigan on Tuesday that Bernie Sanders carried easily against Hillary Clinton in 2016 O
143,Neutral,0.0,6 12 of Bernie supporters voted Trump in 16 compared to 24 of Hillary voters who voted
144,Positive,0.4,Will definitely go to bed happy knowing that Joe Biden has been nominated I fervently hope that Bernie Sanders joins Joe i
145,Negative,-0.4,Donald Trump won in part by literally saying that Hillary Clinton was a war criminal who he was going to put in jai
146,Neutral,0.0,hillary clinton is sitting at her folding table turned computer desk and playing counter strike deathmat
147,Negative,-0.19999999999999998,Let me be as clear as I can be BernieOrBust If we wanted a corrupt racist Republican Wall Street warmonger as Presid
148,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
149,Negative,-0.6,GeorgeSoros has never disguised who he is EVIL or what his intentions have always been Destroy America He
150,Neutral,0.2,If you really cared about beating Trump you d do two things 1 Vote Biden in November 2 Admit Hillary Clinton lost 2016 b
151,Negative,-0.5,It s times like these when you realize how awful a candidate Hillary Clinton was that she could only hold off Bernie wi
152,Positive,0.3,Why was the Hillary Clinton campaign able to get an extra debate scheduled before the Michigan primary whi
153,Neutral,0.0,Hillary Clinton Would Have Won in 2016 If Hulu Docuseries Came Out Before Election Former Aide
154,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
155,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
156,Neutral,0.0,Court rules Hillary Clinton must testify Court rules Cheryl Mills must testify Court authorizes subpoena to Google over Cl
157,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
158,Neutral,0.0,Democrats gave us Hillary Clinton in 2016 Democrats will likely give us Joe Biden in 2020 And if they know you ll ke
159,Positive,0.4666666666666667,Joe Biden won many areas in Michigan on Tuesday that Bernie Sanders carried easily against Hillary Clinton in 2016 One reason
160,Neutral,0.0,HQ i d also like to think that hillary clinton is somewhere tonight drinking alone and talking to herself
161,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
162,Negative,-0.1,Hillary Clinton spent a billion dollars and lost What are you talking about
163,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
164,Negative,-0.125,After tonight Joe Biden will likely be the Democrat nominee for President Between Hunter and James Biden s shady and
165,Negative,-0.30000000000000004,How are these people real Why are they yassss qwaaan ing bloody Hillary Clinton
166,Neutral,0.15000000000000002,No thanks NotMeUs is still here The primary isn t over And I would never vote for Biden
167,Positive,0.375,If anything s for sure it s that Hillary Rodham Clinton was America s first woman president
168,Negative,-0.6,President Trump was so desperate to avoid facing Joe Biden in November that he engaged in dirty tricks that got himself
169,Positive,0.375,Mounk According to PredictIt Hillary Clinton now has a higher chance of winning the nomination than Bernie Sanders Joe Biden
170,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
171,Negative,-0.29583333333333334,It was hard to imagine the Democrats finding an even weaker candidate than Hillary Clinton to lose against the least popula
172,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
173,Positive,0.8,Instead of booing Hillary Clinton looks like Rep Tlaib should have been helping Bernie win some votes in Michigan
174,Neutral,0.16666666666666666,Joe Biden isn t Hillary Clinton and white people white men love Biden
175,Positive,0.26666666666666666,One thing is proven tonight with tremendous finality 25 years of demonizing Hillary Rodham Clinton really worked in
176,Positive,0.25,Joe Biden is winning in rural areas where Sanders romped in 2016
177,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
178,Negative,-0.125,After tonight Joe Biden will likely be the Democrat nominee for President Between Hunter and James Biden s shady and
179,Positive,0.4,In 2016 Sanders won the Michigan primary 49 7 598 943 to Hillary Clinton s 48 3 581 775
180,Negative,-0.125,After tonight Joe Biden will likely be the Democrat nominee for President Between Hunter and James Biden s shady and
181,Neutral,0.0,Hillary Clinton is not above the law yet she has a record of contempt for the rule of law Our leaders are bound by the
182,Negative,-0.10833333333333334,Tom here wants you to get behind another candidate he has chosen The other was Hillary Clinton
183,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
184,Positive,0.35833333333333334,ONLY nominees who win with YOUNG VOTERS in the primary go on to win the general Hillary Bernie Sanders Obama Kerry How
185,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
186,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
187,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
188,Neutral,0.0,James Woods is not alone Sununu says Hillary Clinton is likely angling to be Biden s VP
189,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
190,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
191,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
192,Positive,0.5,Judicial Watch is going to be able to question in person HillaryClinton under oath about her emails and
193,Neutral,0.0,and yet I still see the democratic party pushing a candidate that I have no reason to b
194,Negative,-0.125,After tonight Joe Biden will likely be the Democrat nominee for President Between Hunter and James Biden s shady and
195,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
196,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
197,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
198,Positive,0.5,I wish Bernie got the nom but Biden will have a better chance against Trump than Hillary imo
199,Positive,0.8,I m allowed to be happy that Biden is wining and still pissed as hell at what misogyny did to Hillary Clinton in 2016
200,Neutral,0.0,Hillary Clinton is not above the law yet she has a record of contempt for the rule of law Our leaders are bound by the
201,Positive,0.2142857142857143,Turns out there s nothing that Hillary Clinton can t do She made an otherwise electorally limited socialist a plausible can
202,Neutral,0.0,I d rather have someone we can push than Orange Glo just like I d rather have had Hillary than this
203,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
204,Positive,0.24375000000000002,You mean Rashida booing Hillary Clinton didn t win it for her
205,Negative,-0.125,After tonight Joe Biden will likely be the Democrat nominee for President Between Hunter and James Biden s shady and
206,Neutral,0.0666666666666667,I can t believe the Dems are actually nominating Joe fucking Biden lol They may as well have just run Hillary Clinton
207,Neutral,0.0,Hillary Clinton
208,Neutral,0.0,Well as swimmingly as impeachment and Ru
209,Neutral,0.0,Court rules Hillary Clinton must testify Court rules Cheryl Mills must testify Court authorizes subpoena to Google over Cl
210,Neutral,0.0,I can t help thinking about this Biden isn t that much different from Hillary Clinton on the issues Big difference she
211,Negative,-0.5,matic Why Because they were illegally selling arms to rebels ISIS through the Embassies an
212,Neutral,0.0,willrow I m with y all as well I voted Hillary Clin
213,Neutral,0.0,What do you call it when Donna Brazile leaked debate questions to Hillary Clinton in advance I call that a crime W
214,Negative,-0.125,BREAKING Judicial Watch announced it filed a FOIA lawsuit against the State Dept for all text other electronic messages
215,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
216,Neutral,0.0,Oh s t The moment FBI agents found Hillary Clinton emails on Anthony Weiner s laptop via
217,Positive,0.4,Will definitely go to bed happy knowing that Joe Biden has been nominated I fervently hope that Bernie Sanders joins Joe i
218,Neutral,0.0,Democrats gave us Hillary Clinton in 2016 Democrats will likely give us Joe Biden in 2020 And if they know you ll ke
219,Negative,-0.033333333333333326,joe biden has hillary clinton s awful policy record combined with trump s obvious senility absolutely incredible to wat
220,Positive,0.24375000000000002,You mean Rashida booing Hillary Clinton didn t win it for her
221,Neutral,0.0,Tonight the political world is finally waking up to just how deathly unpopular Hillary Clinton is and was especially am
222,Positive,0.5,Judicial Watch is going to be able to question in person HillaryClinton under oath about her emails and
223,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
224,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
225,Positive,0.45,uprising These are cable news picks as the most electable Democrat in a contested primary this century 2000 Al Gore 2004 John
226,Neutral,0.0,Court rules Hillary Clinton must testify Court rules Cheryl Mills must testify Court authorizes subpoena to Google over Cl
227,Neutral,0.0,Hunter s lawyer is acting astounded that two federal prosecutors were at a Hillary Clinton fundraiser in 2015 in official c
228,Neutral,0.0,Hillary Clinton is not above the law yet she has a record of contempt for the rule of law Our leaders are bound by the
229,Neutral,0.0,There is no rampant misogyny among his supporters this is a myth
230,Neutral,0.0,There s no plan there never was Trump s going to blame everyone He s going to blame Obama he s going to blame Nanc
231,Positive,0.3666666666666667,Hillary Clinton thought that Trump would be easy to beat and people still act like she s worth listening
232,Negative,-0.19999999999999998,Let me be as clear as I can be BernieOrBust If we wanted a corrupt racist Republican Wall Street warmonger as Presid
233,Positive,0.8,I m allowed to be happy that Biden is wining and still pissed as hell at what misogyny did to Hillary Clinton in 2016
234,Neutral,0.125,Why is this not bigger news UPDATE Bill Barr Indicts 8 Including Mueller Top Witness for Funneling Millions in Foreign
235,Neutral,0.0,Hillary Clinton Takes Back Apology For EmailScandaL via Tcot Tgdn Ccot T
236,Positive,0.35833333333333334,ONLY nominees who win with YOUNG VOTERS in the primary go on to win the general Hillary Bernie Sanders Obama Kerry How
237,Neutral,0.0,Court rules Hillary Clinton must testify Court rules Cheryl Mills must testify Court authorizes subpoena to Google over Cl
238,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
239,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
240,Positive,0.4666666666666667,Joe Biden won many areas in Michigan on Tuesday that Bernie Sanders carried easily against Hillary Clinton in 2016 One reason
241,Negative,-0.2,i Judge Jeanine Now we know why Hillary used private email via clinton criminal email democ
242,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
243,Positive,0.5,Why are MSNBC s panels and cameo guests made up of so many shills for Bernie Chris Hayes Rachel Michael Moore others
244,Neutral,0.061111111111111116,Are any of the lazy political pundits going to point out that Hillary Clinton would have won easily if she embraced
245,Neutral,0.0,Democrats gave us Hillary Clinton in 2016 Democrats will likely give us Joe Biden in 2020 And if they know you ll ke
246,Neutral,0.0,Remember When Hillary Clinton Asked China To Look Into Trumps Tax Returns She did this on national television This need
247,Positive,0.4666666666666667,Joe Biden won many areas in Michigan on Tuesday that Bernie Sanders carried easily against Hillary Clinton in 2016 O
248,Positive,0.26666666666666666,One thing is proven tonight with tremendous finality 25 years of demonizing Hillary Rodham Clinton really worked in
249,Neutral,0.0,This is what Hillary Clinton testified before a Congress Committee on Taliban and Pakistan Reap what you sow Pakistan
250,Negative,-0.10714285714285714,I d like to think Hillary Clinton is somewhere tonight sipping a stiff drink and saying simply Told you
251,Neutral,0.0,1992 the year of the woman anita hill basic instinct hillary clinton
252,Negative,-0.19999999999999998,Let me be as clear as I can be BernieOrBust If we wanted a corrupt racist Republican Wall Street warmonger as Presid
253,Positive,0.25,thought i was gonna have a chill night til i saw a guy genuinely put young hillary clinton on his story w smash or pass as the caption
254,Positive,0.45,im really not joking when i say trump being president is the best thing that ever happened to hillary clinton for
255,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
256,Negative,-0.2916666666666667,Why is it so hard for people to just admit that voters just didn t like Hillary Clinton
257,Positive,0.4,Will definitely go to bed happy knowing that Joe Biden has been nominated I fervently hope that Bernie Sanders joins Joe i
258,Negative,-0.26666666666666666,i fucking hate that minnie mouse bitch i just know she s a middle class white feminist who kisses hillary clinton s ass
259,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
260,Neutral,0.0,I can t help thinking about this Biden isn t that much different from Hillary Clinton on the issues Big difference she
261,Negative,-0.125,Things that are more likely to kill you than the Wuhan virus The flu Lightning Drunk drivers Hillary Clinton Islamists Ill
262,Negative,-0.125,After tonight Joe Biden will likely be the Democrat nominee for President Between Hunter and James Biden s shady and
263,Positive,0.2875,knight Becoming more obvious that tons of people who voted Bernie in 16 were really just voting against Hillary Clinton Demora
264,Neutral,0.0,This is your daily reminder that Chuck Schumer threatened two conservative Justices by name last week Nothing has been
265,Positive,0.65,toss Hillary Clinton now has better betting odds to win the Dem nomination than Bernie BWAHAHAHAHA
266,Positive,0.5,Why are MSNBC s panels and cameo guests made up of so many shills for Bernie Chris Hayes Rachel Michael Moore others
