,Sentiment,Score,Tweet
119,Negative,-0.08055555555555556,Time to move on to the general We have a big fight on our hands but with everyone working hard and pulling together
120,Neutral,0.0,This campaign is all about you and together we re going to go all the way to the White House Chip in what you can to defeat
121,Neutral,0.0,This campaign is all about you and together we re going to go all the way to the White House Chip in what you can to defeat
122,Negative,-0.4,In the history of presidential politics I have never seen anything like the energy that has galvanized behind Joe Biden
123,Neutral,0.2,Donald Trump Sanders would have beaten Biden in a route sic Really Why are you GOP amp Russia shedding tears
124,Positive,0.45,Tonight made one thing clear We re building the campaign that will win this nomination and defeat Donald Trump If you re
125,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
126,Neutral,0.0,Joe Biden just graciously thanked Bernie Sanders and his supporters for their tireless energy and passion saying Together
127,Positive,0.2857142857142857,To my friends and supporters who support I was a Bernie supporter in 2016 and believe he is right in diagno
128,Negative,-0.2,I wanna know WHO TF IS ALLOWING DONALD TRUMP TO OPEN UP HIS MOUTH Like sir WHAT THE FUCK
129,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
130,Positive,0.2857142857142857,To my friends and supporters who support I was a Bernie supporter in 2016 and believe he is right in diagno
131,Negative,-0.2,brian Religions whether orthodox Jews in Westchester or that culty one in Korea emerge yet again as fonts of contagion for re
132,Negative,-0.3,Donald Trump ranked WORST president in US history by nearly 200 political scientists Do you agree for YES
133,Positive,0.25,Donald J Trump and Don Jr are the most vetted presidential candidate and son in American history Joe Biden and Hun
134,Neutral,0.0,We have to defeat Donald Trump in order to make progress on the climate And you have to believe that Bernie and Elizabet
135,Neutral,0.0,In Washington with just under 70 reporting President Donald J Trump currently has 516 037 votes He has received m
136,Neutral,0.027777777777777776,Ocasio Cortez Tonight s a tough night for the movement overall I love AOC but there is only o
137,Neutral,0.0,ReaalAmerican Trump Campaign Chief Is Funneling Pay To Eric Trump s Wife Don Jr s Girlfriend Report
138,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
139,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
140,Positive,0.8,How could I look at those three kids and tell them I m proud to support Donald Trump I can t I won t I m voting for
141,Negative,-0.6549999999999999,This has been a very very bad week for Donald Trump it s getting worse
142,Positive,0.2857142857142857,To my friends and supporters who support I was a Bernie supporter in 2016 and believe he is right in diagno
143,Positive,0.8,If you show up and elect Biden in November he will literally not know who Donald Trump IS by then
144,Negative,-0.3,Joe Biden I want to thank Bernie Sanders and his supporters for their tireless energy and their passion We share a common goal
145,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
146,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
147,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
148,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
149,Neutral,0.0,Donald Trump President of the United States of America walks out on to the White House lawn to tell Frank his lat
150,Neutral,0.10714285714285714,While public health experts caution us against large gatherings the commander in chief schedules a rally What message d
151,Neutral,0.0,Request to journalists Please ask Donald Trump to explain the concept of logarithmic growth Coronavirus COVID19
152,Neutral,0.0,We need to start working on defeating Donald Trump becomes the 11th former 2020 presidential candidate to
153,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
154,Neutral,0.10714285714285714,While public health experts caution us against large gatherings the commander in chief schedules a rally What message d
155,Positive,0.4333333333333333,I want to thank Bernie Sanders and his supporters for their tireless energy and their passion Joe Biden says after a strong sho
156,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
157,Negative,-0.13333333333333333,the DNC actively tried to steal the nomination from bernie so they don t get the
158,Neutral,0.0,To the Republicans obsessively Tweeting the hashtag LoseWithBiden here s a promise The only person who will LoseW
159,Neutral,0.10000000000000002,The math is now clear Joe Biden is going to be the Democratic nominee for President and is going to do everyt
160,Positive,0.45,Tonight made one thing clear We re building the campaign that will win this nomination and defeat Donald Trump If you re
161,Neutral,0.0,In Missouri President Donald J Trump 227 347 with 60 reporting has received three times the number of votes as
162,Positive,0.7666666666666666,is totally awesome and so respectable This is a great example of how we should all be handling the
163,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
164,Neutral,0.0,We need to start working on defeating Donald Trump becomes the 11th former 2020 presidential candidate to
165,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
166,Positive,0.55,Why I think Trump will lose in November For the 6 months I challenged Trump in the primary a surprising of Republican
167,Positive,0.6,Even before he declared for the presidency I fought for the principles that Donald Trump so effectively advocated in the
168,Positive,0.5,This guy sounds more like Donald Trump than Donald Trump does Take a listen
169,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
170,Neutral,0.0,Donald J Trump
171,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
172,Positive,0.4,Donald Trump sputters through a symphony of slurred words that make Joe Biden sound like Churchill during the Battle of Britain
173,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
174,Neutral,0.1875,In Mississippi with 69 reporting President Donald J Trump has received more votes than any other incumbent Preside
175,Neutral,0.0,Petkanas Now that Joe Biden is the nominee it s time to pivot 100 to Donald Trump Anyone sniping at Biden after the results to
176,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
177,Neutral,0.10000000000000002,The math is now clear Joe Biden is going to be the Democratic nominee for President and is going to do everyt
178,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
179,Neutral,0.08333333333333333,Joe Biden was not my first candidate he was not my second candidate and he was not my third candidate He s the ca
180,Neutral,0.0,In Washington with just under 70 reporting President Donald J Trump currently has 516 037 votes He has received m
181,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
182,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
183,Neutral,0.0,Bernie is done Vaccines work and are safe Donald Trump is a corrupt skell QAnon is horseshit Tabasco gt Sriracha
184,Neutral,0.2,As a Democrat I m proud of our party for uniting behind a candidate who can and will beat Donald Trump Congrats
185,Neutral,0.10000000000000002,The math is now clear Joe Biden is going to be the Democratic nominee for President and is going to do everyt
186,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
187,Neutral,0.0,Donald Trump Won t Meet With Pelosi to Discuss Coronavirus Because His Feelings Are Still Too Hurt Over Impeachment Instea
188,Neutral,0.10714285714285714,While public health experts caution us against large gatherings the commander in chief schedules a rally What message d
189,Positive,0.8,How could I look at those three kids and tell them I m proud to support Donald Trump I can t I won t I m voting for
190,Negative,-0.7,Pearl Jam cancels tour slams Donald Trump administration s disastrous coronavirus response
191,Neutral,0.10714285714285714,While public health experts caution us against large gatherings the commander in chief schedules a rally What message d
192,Positive,0.5,The nation has been in a car with a stuck accelerator no brakes and Donald Trump at the wheel for more than three ye
193,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
194,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
195,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
196,Positive,0.8,DemExit I just PROUDLY blocked traitor Jill Stein I block traitors to America I Pledge To VoteBlueNoMatterWh
197,Neutral,0.08333333333333333,Joe Biden was not my first candidate he was not my second candidate and he was not my third candidate He s the ca
198,Neutral,0.1875,In Mississippi with 69 reporting President Donald J Trump has received more votes than any other incumbent Preside
199,Neutral,0.0,Prince Harry says Donald Trump has blood on his hands in leaked phone call Daily Mail Online Please Harry watc
200,Neutral,0.0,Steve Mnuchin met with a Russian Ambassador today and signed an agreement that included Implementation of the arrange
201,Neutral,0.0,Joe Biden just graciously thanked Bernie Sanders and his supporters for their tireless energy and passion saying Together
202,Negative,-0.2,I wanna know WHO TF IS ALLOWING DONALD TRUMP TO OPEN UP HIS MOUTH Like sir WHAT THE FUCK
203,Neutral,0.0,Joe Biden is the Donald Trump of the Democratic Party
204,Positive,0.4,Donald Trump sputters through a symphony of slurred words that make Joe Biden sound like Churchill during the Battle of Britain
205,Negative,-0.375,I ve been skeptical that a Democrat could beat Donald Trump in November After watching s surge these past te
206,Positive,0.8333333333333334,Nambia Diversary Pivittible Donald Trump has the best words but which one is the most best We created an interactiv
207,Neutral,0.0,It s all a grift Americans donate to Trump s campaign Trump s campaign pays Brad Parscale s company millions Parscale
208,Positive,0.45,Thank you to all of our incredible supporters and volunteers across the country tonight s victories wouldn t be possible wi
209,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
210,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
211,Neutral,0.0,Then Vote for Donald Trump Saves your song and dance
212,Neutral,0.2,Donald Trump the real man of Steel reelect Trump 2020
213,Negative,-0.18333333333333335,Yes Sean Hannity is an idiot and yes he s a big bore but listening to Hannity tells you exactly what Trump is thinkin
214,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
215,Neutral,0.0,tesla I officially do not endorse Joseph Biden for President nor Donald Trump
216,Neutral,0.0,gpt2 Human Error Donald Trump Doesn t Know How to Read or Write
217,Positive,0.2857142857142857,To my friends and supporters who support I was a Bernie supporter in 2016 and believe he is right in diagno
218,Neutral,0.10714285714285714,While public health experts caution us against large gatherings the commander in chief schedules a rally What message d
219,Positive,0.8,Who would win a US presidential election between Donald Trump and Joe Biden
220,Positive,1.0,Donald Trump is the greatest hoax ever perpetrated on America
221,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
222,Positive,0.8333333333333334,Nambia Diversary Pivittible Donald Trump has the best words but which one is the most best We created an interactiv
223,Neutral,0.0,I want to thank Bernie Sanders and his supporters for their tireless energy and their passion says in Philadelp
224,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
225,Negative,-0.4,For the record Donald Trump s criminal justice policies are reversing the injustices of the 1994 crime bill that Joe B
226,Neutral,0.0,river marshall It Isn t The DNC It
227,Neutral,0.0,Prince Harry says Trump has blood on his hands in leaked phone call Hah Just Wait Until You Learn About The Windsors
228,Positive,0.35,Donald trump retweeting Jill Stein tells you everything That s it Full stop
229,Neutral,0.0,Steve Mnuchin met with a Russian Ambassador today and signed an agreement that included Implementation of the arrange
230,Neutral,0.10714285714285714,While public health experts caution us against large gatherings the commander in chief schedules a rally What message d
231,Positive,0.2333333333333333,With big primary wins Joe Biden took command of the Democratic race and called for unity with Bernie Sanders Together we ll
232,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
233,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
234,Neutral,0.10714285714285714,While public health experts caution us against large gatherings the commander in chief schedules a rally What message d
235,Neutral,0.04444444444444445,Donald Trump will win his re election After reading how pathetically awful Bernie did on super Tuesday it is clea
236,Positive,0.43125,bonder is uniting the party and building the broad coalition Democrats will need to win in November We share a co
237,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
238,Neutral,0.0,Joe Biden is going to be the Democratic nominee It s time for the Party to come together and focus on beating Donald Tru
239,Neutral,0.0,We need to start working on defeating Donald Trump becomes the 11th former 2020 presidential candidate to
240,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
241,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
242,Neutral,0.0,In Washington with just under 70 reporting President Donald J Trump currently has 516 037 votes He has received m
243,Positive,0.2333333333333333,With big primary wins Joe Biden took command of the Democratic race and called for unity with Bernie Sanders Together we ll
244,Negative,-0.33809523809523806,Donald Trump s day so far Calls it the China Virus What a sick racist fuck Says he needs to build the wall to s
245,Negative,-0.18333333333333335,Yes Sean Hannity is an idiot and yes he s a big bore but listening to Hannity tells you exactly what Trump is thinkin
246,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
247,Positive,0.5,Climate activists from the Sunrise Movement helped disrupt a Biden rally this week but they fear Donald Trump more than
248,Neutral,0.0,rob Then you re voting for Donald Trump There is NO not voting You either support the
249,Neutral,0.0,Look we just have irreconcilable differences and that happens Sometimes you have to let go of an abusive relationship
250,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
251,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
252,Neutral,0.10714285714285714,While public health experts caution us against large gatherings the commander in chief schedules a rally What message d
253,Neutral,0.0,With 83 of the vote reported in Mississippi President Donald J Trump has 200 453 votes over twice the total number
254,Positive,0.2142857142857143,Turns out there s nothing that Hillary Clinton can t do She made an otherwise electorally limited socialist a plausible can
255,Neutral,0.0,I hereby am endorsing not just to be the nominee but the next President of the United States
256,Neutral,0.08333333333333333,Joe Biden was not my first candidate he was not my second candidate and he was not my third candidate He s the ca
257,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
258,Neutral,0.0,Do you approve of Donald Trump s presidency LoseWithBiden ByebyeBernie SuperTuesday2
259,Negative,-0.5,It s insane The same Mainstream Media pundits amp Democrats who attack Donald Trump for his rhetoric are praising Joe
260,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
261,Negative,-0.4,In the history of presidential politics I have never seen anything like the energy that has galvanized behind Joe Biden
262,Neutral,0.0,Look we just have irreconcilable differences and that happens Sometimes you have to let go of an abusive relationship
263,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
264,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
265,Neutral,0.2,not just that which is correct but they are voting for a guy who is absolutely going to lose yet
266,Positive,0.375,Maybe it s just me but I think Donald Trump is pretty sexy
267,Positive,0.8,Who would win a US presidential election between Donald Trump and Joe Biden
268,Neutral,0.0,In 2016 Hillary beat Bernie by 4m votes and Donald Trump by 3m in the pop vote But keep spinning your
269,Neutral,0.0,This campaign is all about you and together we re going to go all the way to the White House Chip in what you can to defeat
270,Neutral,0.10714285714285714,While public health experts caution us against large gatherings the commander in chief schedules a rally What message d
271,Positive,0.6,Polls Would you say that Bernie Sanders is honest Yes 62 36 No 26 Would you say that Joe Biden is honest Yes 51 13
272,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
273,Positive,0.25,Donald J Trump and Don Jr are the most vetted presidential candidate and son in American history Joe Biden and Hun
274,Positive,0.8,It s been a great night thank you for all of your support We re bringing this party together and it s going to take all of
275,Neutral,0.14285714285714285,Former Democratic presidential nominee Andrew Yang has endorsed Joe Biden calling him the right man for the job to help us not j
276,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
277,Neutral,0.08333333333333333,Joe Biden was not my first candidate he was not my second candidate and he was not my third candidate He s the ca
278,Positive,0.5875,If we show up and elect Joe Biden in November then Donald Trump will go to prison It s truly as straightforward as that
279,Neutral,0.125,smokey Biden had not ever been my first pick but I can not stress enough the importance of not having another 4 years of Donald T
280,Neutral,0.0,Steve Mnuchin met with a Russian Ambassador today and signed an agreement that included Implementation of the arrange
281,Positive,0.6,Even before he declared for the presidency I fought for the principles that Donald Trump so effectively advocated in the
282,Neutral,0.0,In Washington State with just under 70 reporting President Donald J Trump currently has 516 037 votes He has receive
283,Positive,0.4,WATCH reacts to Joe Biden s projected victory in Michigan s Democratic primary Donald Trump got himself impe
284,Positive,0.2333333333333333,With big primary wins Joe Biden took command of the Democratic race and called for unity with Bernie Sanders Together we ll
